form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
Ἡροδότου	Ἡρόδοτος	1	n	-	s	-	-	-	m	g	-
Ἁλικαρνησσέος	Ἁλικαρνησσεύς	2	n	-	s	-	-	-	m	g	-
ἱστορίης	ἱστορία	3	n	-	s	-	-	-	f	g	-
ἀπόδεξις	ἀπόδειξις	4	n	-	s	-	-	-	f	n	-
ἥδε	ὅδε	5	p	-	s	-	-	-	f	n	-
,	punc1	6	u	-	-	-	-	-	-	-	-
ὡς	ὡς	7	c	-	-	-	-	-	-	-	-
μή	μήτε	8	d	-	-	-	-	-	-	-	-
-τε	τε	9	d	-	-	-	-	-	-	-	-
τὰ	ὁ	10	l	-	p	-	-	-	n	n	-
γενόμενα	γίγνομαι	11	v	-	p	a	p	m	n	n	-
ἐξ	ἐκ	12	r	-	-	-	-	-	-	-	-
ἀνθρώπων	ἄνθρωπος	13	n	-	p	-	-	-	m	g	-
τῷ	ὁ	14	l	-	s	-	-	-	m	d	-
χρόνῳ	χρόνος	15	n	-	s	-	-	-	m	d	-
ἐξίτηλα	ἐξίτηλος	16	a	-	p	-	-	-	n	n	-
γένηται	γίγνομαι	17	v	3	s	a	s	m	-	-	-
,	punc1	18	u	-	-	-	-	-	-	-	-
μή	μή	19	d	-	-	-	-	-	-	-	-
-τε	τε	20	c	-	-	-	-	-	-	-	-
ἔργα	ἔργον	21	n	-	p	-	-	-	n	n	-
μεγάλα	μέγας	22	a	-	d	-	-	-	f	n	-
τε	τε	23	d	-	-	-	-	-	-	-	-
καὶ	καί	24	c	-	-	-	-	-	-	-	-
θωμαστά	θαυμαστός	25	a	-	p	-	-	-	n	n	-
,	punc1	26	u	-	-	-	-	-	-	-	-
τὰ	ὁ	27	l	-	p	-	-	-	n	n	-
μὲν	μέν	28	d	-	-	-	-	-	-	-	-
Ἕλλησι	Ἕλλην	29	n	-	p	-	-	-	m	d	-
τὰ	ὁ	30	l	-	p	-	-	-	n	n	-
δὲ	δέ	31	c	-	-	-	-	-	-	-	-
βαρβάροισι	βάρβαρος	32	n	-	p	-	-	-	m	d	-
